"species","anom_estimate","anom_conf_low","anom_conf_high","norm_estimate","norm_conf_low","norm_conf_high","r_squared"
"Betula papyrifera",-5.61269565506327,-9.14429862098867,-2.08109268913786,-5.96788596233325,-8.14808612092036,-3.78768580374614,0.219404431794273
"Betula populifolia",-0.598270055247313,-8.61032615320029,7.41378604270566,-8.02278564148871,-13.5375864551975,-2.50798482777995,0.0939366643293427
"Betula pumila",-1.6198604976956,-5.57195857840202,2.33223758301082,-4.14393081516832,-7.01236609411798,-1.27549553621867,0.0407515484291905
"Betula sandbergii",-4.99322883857998,-18.9280540484607,8.94159637130072,-11.3306342901171,-23.9459317444455,1.28466316421142,0.084577364095734
"Fraxinus americana",-5.50763465250082,-9.75324623315712,-1.26202307184451,-1.99420958716996,-3.77342122912801,-0.214997945211916,0.0655071680593501
"Fraxinus anomala",-4.29308687055895,-6.82682110179954,-1.75935263931836,-5.5909639443183,-6.81404976206542,-4.36787812657118,0.458709121889485
"Fraxinus cuspidata",-6.10596772458685,-8.98257891952171,-3.22935652965199,-3.24520468291378,-4.27226782113671,-2.21814154469086,0.54329786110481
"Fraxinus dipetala",-4.5665247226293,-6.50449048194327,-2.62855896331533,-8.09786540093192,-10.2226538676224,-5.97307693424139,0.417208111211497
"Fraxinus pennsylvanica",-1.68231536022347,-5.24719303507697,1.88256231463004,-2.44562475338535,-3.42916640747433,-1.46208309929637,0.103436828736847
"Fraxinus velutina",-3.70958435231703,-7.7634834714173,0.344314766783246,-4.68968730694994,-6.95506386822905,-2.42431074567084,0.136346377280242
"Morus alba",-5.63355778221512,-7.66629968922024,-3.60081587521,-5.73485830104684,-6.47790819029941,-4.99180841179427,0.703132824024563
"Morus microphylla",-0.654019978984302,-3.61208222560058,2.30404226763198,-2.10302520735893,-3.39637516827583,-0.809675246442023,0.204062825528211
"Morus rubra",-5.34381387222579,-7.82559688719016,-2.86203085726142,-5.03609421286739,-5.61747653977373,-4.45471188596106,0.818362727669891
"Populus angustifolia",-0.196484253023394,-3.88829139431944,3.49532288827265,-2.79429841753673,-4.45111302921391,-1.13748380585955,0.135828895541808
"Populus balsamifera",-2.55092178509628,-6.85087589947719,1.74903232928464,-5.66614358520279,-8.3652957259721,-2.96699144443348,0.39552047299021
"Populus deltoides",-1.42452411926689,-4.23671632550481,1.38766808697104,-2.96259849936299,-3.90678821698186,-2.01840878174412,0.141228999975647
"Populus fremontii",-5.4380358181664,-9.57522674840708,-1.30084488792572,-6.49785334185051,-8.76578717511983,-4.22991950858118,0.207566511522335
"Populus grandidentata",-5.56970808701003,-8.07530425672633,-3.06411191729373,-3.81330265061944,-5.26221350481573,-2.36439179642315,0.314691255260402
"Populus tremuloides",-4.39548960940675,-6.28230990188856,-2.50866931692493,-7.02403400540797,-7.86086661039782,-6.18720140041813,0.545829685935935
"Quercus agrifolia",-2.13200609945916,-5.31881119717581,1.0547989982575,-5.02064272447637,-7.62889533612231,-2.41239011283043,0.0773690554093614
"Quercus alba",-3.25933345276448,-5.26241075214807,-1.2562561533809,-3.77039833546715,-4.64681490509077,-2.89398176584353,0.553540598982697
"Quercus berberidifolia",-4.73634689316006,-10.4269821504712,0.954288364151067,-5.88523273119348,-10.7869358213439,-0.98352964104305,0.120074219340502
"Quercus chrysolepis",-3.4260367457841,-5.27711221582457,-1.57496127574364,-5.02265879064093,-5.9300595554071,-4.11525802587476,0.405810281662435
"Quercus durata",-5.82302952112388,-8.96314547253094,-2.68291356971682,-6.5413833396922,-9.3857228849906,-3.6970437943938,0.438300460227641
"Quercus ellipsoidalis",-4.58847807572514,-6.26734379171421,-2.90961235973607,-3.22584645453428,-5.78234022349233,-0.669352685576228,0.554855567331419
"Quercus falcata",-5.39575266758236,-8.46828033365345,-2.32322500151127,-6.61866484833466,-7.81106979228172,-5.4262599043876,0.781193129234964
"Quercus gambelii",-4.43862457468826,-6.34037279975497,-2.53687634962154,-3.49574321066013,-4.29310295681376,-2.69838346450651,0.428657999670504
"Quercus garryana",-7.24166089322619,-10.1271678132853,-4.35615397316704,-10.6400632318044,-12.5641840172868,-8.71594244632207,0.7624629644832
"Quercus ilicifolia",-2.27619615079894,-3.91440007808161,-0.63799222351627,-4.45420395852932,-5.72066976429043,-3.1877381527682,0.435690833831161
"Quercus kelloggii",-6.5265503016554,-9.55733793618408,-3.49576266712672,-6.67964214847526,-8.2505887202881,-5.10869557666241,0.609182751158959
"Quercus lobata",-1.16333088522671,-5.91153449007599,3.58487271962257,-2.9433940968421,-6.24522214990989,0.35843395622569,0.0938467050516311
"Quercus macrocarpa",-4.87757887665088,-6.71069949361449,-3.04445825968726,-3.42103923595181,-4.04287684137629,-2.79920163052734,0.639348945139397
"Quercus marilandica",1.62577295055045,-3.22647156971847,6.47801747081936,-4.24329646610966,-5.73945383736599,-2.74713909485334,0.335114969685176
"Quercus nigra",2.43779652436382,-1.04194181215802,5.91753486088566,-4.9036985479867,-6.23275191532099,-3.57464518065241,0.583990551963244
"Quercus parvula",-11.8097684776906,-24.174819264023,0.555282308641805,-11.6237403550786,-27.6811143666189,4.43363365646172,0.101246328697424
"Quercus prinoides",-4.99713348992247,-8.33293314258801,-1.66133383725693,-3.45092759170892,-5.3314308214243,-1.57042436199354,0.385392600952369
"Quercus rubra",-4.68795436675571,-5.93973324463231,-3.4361754888791,-3.30452521497114,-3.76313848729646,-2.84591194264581,0.833740727874278
"Quercus sadleriana",-7.29738406731123,-10.7583276290419,-3.83644050558052,-4.4970046262789,-7.72082433550627,-1.27318491705152,0.439807263985486
"Quercus stellata",-4.0814539858144,-6.09014168256067,-2.07276628906813,-5.93999059564244,-6.48610726232269,-5.39387392896219,0.878305185607329
"Quercus turbinella",-1.85700405547105,-4.65639995304894,0.942391842106831,-3.50686220704574,-4.69498037895971,-2.31874403513176,0.393468558848775
"Quercus vacciniifolia",-2.85080469423404,-4.85539217339979,-0.846217215068282,-2.08572416265647,-3.15641313117206,-1.01503519414088,0.326198575125302
"Quercus velutina",-4.18642365227758,-6.15318292254676,-2.21966438200839,-3.22377976513991,-4.31150913508319,-2.13605039519662,0.475384077979332
"Quercus virginiana",-1.96047749062807,-7.1759742188918,3.25501923763565,-4.90596722468501,-6.59112173155952,-3.22081271781049,0.446345067766545
"Quercus wislizeni",-5.53501089695657,-7.27129657027092,-3.79872522364223,-8.46497483846456,-9.81892355729149,-7.11102611963762,0.495975304852121
"Ulmus alata",1.72035975526482,-2.37725381527684,5.81797332580647,-5.8699362769564,-8.10663439051905,-3.63323816339375,0.257283758859554
"Ulmus americana",-2.75610673503843,-4.66995462686595,-0.842258843210905,-5.15589918304262,-5.64319366664247,-4.66860469944277,0.62708622727254
"Ulmus pumila",-4.24709542379859,-11.6847915052471,3.19060065764988,-3.07152506953741,-6.7151153666315,0.572065227556675,0.068954318730571
"Ulmus rubra",-3.95623563591342,-6.79477617705273,-1.11769509477411,-4.30073796821992,-5.26176341190099,-3.33971252453884,0.396730370700091
