"species","anom_estimate","anom_conf_low","anom_conf_high","norm_estimate","norm_conf_low","norm_conf_high","r_squared"
"Acer circinatum",-5.30224021024025,-8.91554884448904,-1.68893157599146,-9.02009293933123,-11.5912859329014,-6.44889994576103,0.581530319112217
"Acer glabrum",-5.43070290521406,-7.12418026810555,-3.73722554232257,-4.22871249145291,-5.04419971870703,-3.4132252641988,0.450600169136639
"Acer macrophyllum",-3.18300535250996,-5.0753785787394,-1.29063212628053,-5.89302389146129,-7.01604958909031,-4.76999819383227,0.336087300448319
"Acer negundo",-2.98387212048154,-4.16652506321384,-1.80121917774924,-3.91367306359646,-4.25025307492258,-3.57709305227034,0.547059538222321
"Acer pensylvanicum",-1.82296392351003,-3.35091277997082,-0.295015067049238,-2.97402670453271,-3.73926832696878,-2.20878508209665,0.251804154230557
"Acer platanoides",-3.48931976006883,-4.94533042100302,-2.03330909913464,-3.44990956330428,-4.28653464410339,-2.61328448250517,0.437929112306486
"Acer rubrum",-4.77874475504376,-5.80290313550085,-3.75458637458667,-4.89212077814509,-5.17061468703857,-4.61362686925162,0.725198728041333
"Acer saccharinum",-4.22067992166327,-7.95665139469757,-0.484708448628958,-4.62428082747603,-6.12526831345485,-3.12329334149721,0.338457179519213
"Acer saccharum",-3.18578013917096,-4.42014937898834,-1.95141089935358,-3.55421982302027,-4.0512821458702,-3.05715750017033,0.625005173543528
"Acer spicatum",-2.48784099756491,-4.15776435780612,-0.817917637323699,-2.72827101745444,-3.67554676622294,-1.78099526868594,0.202088110481119
"Acer tataricum",-4.85857321101067,-6.96961340182656,-2.74753302019478,-5.24273889175928,-6.36497603323333,-4.12050175028523,0.746751168025563
"Betula alleghaniensis",-3.52605408798921,-8.60183838384494,1.54973020786652,-4.52660841477329,-7.43386135772352,-1.61935547182306,0.093513469087265
"Betula glandulosa",5.54789353813387,0.287068935480983,10.8087181407868,-6.44917545319595,-9.42000383332389,-3.47834707306801,0.25105646381933
"Betula lenta",-4.60921503604065,-6.9883105575499,-2.2301195145314,-4.68088156187915,-6.07495024239459,-3.28681288136371,0.325807049022638
"Betula nigra",-0.0156239892489179,-3.52617929615027,3.49493131765244,-4.62989858269014,-5.65775044574732,-3.60204671963296,0.465351210821328
"Betula occidentalis",-3.96153607480425,-7.5279604430133,-0.395111706595198,-5.05567253002071,-6.58893942541974,-3.52240563462168,0.218975947190904
